substrate_type,initial_conc_g_cod_l,anode_material,anode_surface_area_m2,anolyte_volume_ml,cathode_material,cathode_surface_area_m2,catholyte_volume_ml,pH,temperature_c,anode_S_V_ratio_m2_m3,cathode_S_V_ratio_m2_m3,max_power_density_w_m2,anode_description,cathode_description,substrate_description
food waste with glucose,,graphite rod,0.006594,350,graphite rod,0.006594,350,6.39,25,18.84,18.84,0.43822,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,soluble glucose fraction; high COD; low toxicity; readily fermentable
glucose,1.748,carbon cloth,0.0042,350,carbon cloth,0.0042,350,7.9,,12,12,0.03137,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high aqueous solubility; high theoretical COD; low microbial toxicity; rapid biodegradability and fermentability
tannery wastewater,4.72,graphite particle,0.25,400,carbon cloth,,400,7.92,,625,,0.03744,granular particulate morphology; high specific surface area; porous packed-bed structure; interconnected macropore network | high specific surface area; rough particle surface; hydrophobic graphitic basal planes; limited oxygen functional groups | biocompatible carbon surface; biofilm-supporting particle roughness; microbial adhesion sites; extracellular electron transfer compatibility | high electrical conductivity; low internal resistance; broad electrochemical stability; efficient electron transfer,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high COD; chromium sulfide toxicity; partial biodegradability; moderate fermentability
tannery wastewater,4.72,carbon cloth,0.25,400,carbon cloth,,400,7.92,,625,,0.0311,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high COD; chromium sulfide toxicity; partial biodegradability; moderate fermentability
real dairy wastewater,2,carbon cloth,,400,carbon cloth,,400,7.4,37,,,0.105,woven carbon fiber network; interconnected macroporous voids; flexible cloth architecture; rough filament surfaces | open woven macroporosity; rough fibrous texture; moderate specific surface area; hydrophobic carbon surface | biocompatible carbon fiber scaffold; robust microbial adhesion; stable electroactive biofilm support; low cytotoxicity | high electrical conductivity; low charge-transfer resistance; stable electrochemical response; efficient extracellular electron transfer,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high COD load; low toxicity; readily biodegradable organics; highly fermentable organics
acetate mixed with congo red and chemical sulfide,1.742,graphite fiber brush,,400,carbon cloth,0.005024,400,7,25,,12.56,0.0235,three-dimensional brush architecture; high specific surface area; macroporous fiber network; radial graphite fiber bundles | high specific surface area; rough fibrous topology; biocompatible graphitic surface; open macroporous structure | large microbial attachment area; dense electroactive biofilm formation; three-dimensional microbial colonization; efficient extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient extracellular electron transfer; high current density,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high soluble COD; Congo red/sulfide toxicity; partial anaerobic biodegradability; low fermentability
acetate mixed with congo red and biogenic sulfide,1.742,graphite fiber brush,,400,carbon cloth,0.005024,400,7,25,,12.56,0.05925,three-dimensional brush architecture; high specific surface area; macroporous fiber network; radial graphite fiber bundles | high specific surface area; rough fibrous topology; biocompatible graphitic surface; open macroporous structure | large microbial attachment area; dense electroactive biofilm formation; three-dimensional microbial colonization; efficient extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient extracellular electron transfer; high current density,woven carbon fiber network; macroporous open structure; high geometric surface area; flexible textile architecture | woven macroporous fiber network; rough biofilm-supporting surface; hydrophobic graphitic carbon surface; low native oxygen functionality | biocompatible woven microfibers; robust biofilm attachment; high microbial colonization; extracellular electron transfer interface | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,high aqueous solubility; elevated soluble COD; azo dye sulfide toxicity; limited fermentability
rice mill wastewater,2,stainless steel mesh,0.0184,480,graphite plate,0.0115,2300,7,,38.33333333,5,0.1092,woven mesh architecture; open macroporous structure; high geometric surface area; interconnected steel filaments | chromium oxide passive film; corrosion-resistant surface; macroporous mesh architecture; moderate biofilm adhesion | moderate microbial adhesion; stable biofilm support; corrosion-resistant biocompatible surface; macroporous microbial colonization | high electrical conductivity; low ohmic resistance; corrosion-resistant passive surface; moderate electrocatalytic activity,flat planar geometry; dense nonporous structure; low specific surface area; rigid self-supporting substrate | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited oxygen functional groups | biocompatible carbon surface; stable biofilm adhesion; direct electron transfer compatibility; low cytotoxicity | high electrical conductivity; low ohmic resistance; stable electrochemical behavior; moderate electron transfer kinetics,soluble starch-rich organics; high COD load; low toxicity; readily fermentable carbohydrates
chocolaterie wastewater,1.6,carbon veil,0.0135,500,carbon veil,0.0135,600,7,,27,22.5,0.098,nonwoven carbon fiber network; high open porosity; large accessible surface area; thin flexible mat | microscale fibrous roughness; open macroporous network; abundant biofilm attachment sites; chemically stable carbon surface | strong bacterial adhesion; robust biofilm formation; biocompatible carbon surface; porous microbial colonization network | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; rapid electron transfer kinetics,nonwoven carbon fiber mat; high macroporosity; open interconnected pore network; high specific surface area | high specific surface area; porous fibrous network; biofilm-supportive roughness; moderate surface hydrophobicity | biocompatible carbon fiber matrix; high microbial adhesion; extensive biofilm colonization; favorable extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient electron transfer; capacitive biofilm interface,high COD; sugar-rich soluble organics; low inherent toxicity; readily biodegradable fermentable substrates
chocolaterie wastewater,0.68,carbon veil,0.0135,500,carbon veil,0.0135,600,7,,27,22.5,0.03,nonwoven carbon fiber network; high open porosity; large accessible surface area; thin flexible mat | microscale fibrous roughness; open macroporous network; abundant biofilm attachment sites; chemically stable carbon surface | strong bacterial adhesion; robust biofilm formation; biocompatible carbon surface; porous microbial colonization network | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; rapid electron transfer kinetics,nonwoven carbon fiber mat; high macroporosity; open interconnected pore network; high specific surface area | high specific surface area; porous fibrous network; biofilm-supportive roughness; moderate surface hydrophobicity | biocompatible carbon fiber matrix; high microbial adhesion; extensive biofilm colonization; favorable extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient electron transfer; capacitive biofilm interface,high COD; sugar-rich soluble organics; low inherent toxicity; readily biodegradable fermentable substrates
chocolaterie wastewater,0.8,carbon veil,0.0135,500,carbon veil,0.0135,600,7,,27,22.5,0.0533,nonwoven carbon fiber network; high open porosity; large accessible surface area; thin flexible mat | microscale fibrous roughness; open macroporous network; abundant biofilm attachment sites; chemically stable carbon surface | strong bacterial adhesion; robust biofilm formation; biocompatible carbon surface; porous microbial colonization network | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; rapid electron transfer kinetics,nonwoven carbon fiber mat; high macroporosity; open interconnected pore network; high specific surface area | high specific surface area; porous fibrous network; biofilm-supportive roughness; moderate surface hydrophobicity | biocompatible carbon fiber matrix; high microbial adhesion; extensive biofilm colonization; favorable extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient electron transfer; capacitive biofilm interface,high COD; sugar-rich soluble organics; low inherent toxicity; readily biodegradable fermentable substrates
chocolaterie wastewater,2.4,carbon veil,0.0135,500,carbon veil,0.0135,600,7,,27,22.5,0.031,nonwoven carbon fiber network; high open porosity; large accessible surface area; thin flexible mat | microscale fibrous roughness; open macroporous network; abundant biofilm attachment sites; chemically stable carbon surface | strong bacterial adhesion; robust biofilm formation; biocompatible carbon surface; porous microbial colonization network | high electrical conductivity; low charge-transfer resistance; large electroactive surface area; rapid electron transfer kinetics,nonwoven carbon fiber mat; high macroporosity; open interconnected pore network; high specific surface area | high specific surface area; porous fibrous network; biofilm-supportive roughness; moderate surface hydrophobicity | biocompatible carbon fiber matrix; high microbial adhesion; extensive biofilm colonization; favorable extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; efficient electron transfer; capacitive biofilm interface,high COD; sugar-rich soluble organics; low inherent toxicity; readily biodegradable fermentable substrates
rotten rice,,graphite rod,0.006594,800,graphite rod,0.006594,800,7,30,8.2425,8.2425,0.0029,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,limited aqueous solubility; high biodegradable COD; low toxicity; readily fermentable starch
brewery wastewater,3.6409,graphite rod,0.0025,800,graphite rod,0.0025,800,7.8,,3.125,3.125,0.072433183,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high soluble COD; low toxicity; readily biodegradable organics; high fermentability
synthetic wastewater with various biodegradable substrates,0.343,graphite plate,0.000465,0.95,graphite plate,0.000285,0.95,,,489.4736842,300,1.6,planar rigid plate geometry; dense nonporous graphite matrix; smooth limited-area surface; limited biofilm attachment area | low surface roughness; low specific surface area; hydrophobic basal planes; few oxygen functional groups | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; direct electron transfer compatibility | high electrical conductivity; low internal resistance; broad electrochemical stability window; moderate charge transfer kinetics,flat planar geometry; dense nonporous structure; low specific surface area; rigid self-supporting substrate | low specific surface area; smooth planar morphology; hydrophobic graphitic surface; limited oxygen functional groups | biocompatible carbon surface; stable biofilm adhesion; direct electron transfer compatibility; low cytotoxicity | high electrical conductivity; low ohmic resistance; stable electrochemical behavior; moderate electron transfer kinetics,high solubility; moderate-to-high COD; low toxicity; readily biodegradable/fermentable
marine sediment,,polypyrrole coated mno2 and fe2o3,0.3023,1000,carbon fiber,0.604,1000,7.945,28.5,302.3,604,0.17045,uniform polypyrrole coating; MnO2-Fe2O3 nanocomposite; porous rough surface; high specific surface area | rough hierarchical surface; high electroactive surface area; hydrophilic biofilm interface; abundant redox-active sites | enhanced bacterial adhesion; biocompatible redox-active interface; extracellular electron transfer enhancement; stable electroactive biofilm | enhanced electrical conductivity; reduced charge-transfer resistance; high pseudocapacitive activity; rapid electron-transfer kinetics,microscale fibrous network; high specific surface area; interconnected macroporous structure; rough biofilm-supporting surface | high specific surface area; favorable biofilm adhesion; tunable surface functional groups; moderate surface roughness | good microbial biocompatibility; strong bacterial adhesion; conductive biofilm support; efficient extracellular electron transfer | high electrical conductivity; low internal resistance; efficient extracellular electron transfer; wide electrochemical stability window,insoluble particulate matrix; variable low-to-moderate COD; low toxicity; slow anaerobic biodegradability
dairy wastewater,0.15,stainless steel mesh coated with acrylic-based graphite paint,0.0174,1100,activated carbon and carbon black on stainless steel mesh,0.000625,1100,,,15.81818182,0.568181818,0.029,open stainless steel mesh; rough graphite paint coating; macroporous interconnected voids; thin adherent carbon layer | conductive graphite-rich surface; increased electroactive surface area; rough microtextured coating; biofilm-supportive carbon interface | biocompatible graphite interface; enhanced biofilm adhesion; high microbial colonization; efficient extracellular electron transfer | moderate electrical conductivity; low ohmic resistance; reduced charge-transfer resistance; electroactive graphite interface,high specific surface area; hierarchical porous carbon coating; macroporous stainless steel mesh; rough biofilm-supporting texture | high specific surface area; hierarchical porous texture; rough biofilm-supporting surface; conductive carbon coating | enhanced bacterial adhesion; large electroactive biofilm area; rough biocompatible carbon surface; facilitated extracellular electron transfer | high electrical conductivity; low charge-transfer resistance; high double-layer capacitance; rapid extracellular electron transfer,high soluble COD fraction; high biodegradability; low inherent toxicity; fermentable lactose-rich organics
apple waste,7,stainless steel brush,,3600,platinum on vulcan carbon coated carbon cloth,,3600,7,30,,,0.221,brush-like filament network; high surface roughness; porous interstitial spaces; large surface area | hydrophilic metallic surface; oxide surface layer; moderate surface energy; corrosion-resistant surface | dense biofilm attachment; microbial colonization sites; stable biofilm support; extensive cell retention | high conductivity; low resistance; efficient electron collection; stable current transfer,fibrous carbon cloth matrix; dispersed platinum nanoparticles; porous catalyst layer; high surface area | high catalyst dispersion; hydrophobic carbon surface; large active interface; nanoscale surface roughness | minimal biofouling tendency; limited microbial attachment; stable catalyst interface; reduced biomass accumulation | high conductivity; low resistance; rapid oxygen reduction; high catalytic activity,high fermentable sugar content; moderate COD concentration; rapid biodegradation potential; low toxicity profile
glucose,1,graphite rod,0.0022,1900,graphite rod,0.0022,1900,7,30,1.157894737,1.157894737,0.051,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; high theoretical COD; low microbial toxicity; rapid biodegradability and fermentability
sucrose,1,graphite rod,0.0022,1900,graphite rod,0.0022,1900,7,30,1.157894737,1.157894737,0.064,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; high theoretical COD; low microbial toxicity; readily fermentable biodegradable
acetate,1,graphite rod,0.0022,1900,graphite rod,0.0022,1900,7,30,1.157894737,1.157894737,0.091,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; moderate theoretical COD; low toxicity; readily biodegradable nonfermentable
acetate,0.5,graphite rod,0.0022,1900,graphite rod,0.0022,1900,7,30,1.157894737,1.157894737,0.033,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; moderate theoretical COD; low toxicity; readily biodegradable nonfermentable
acetate,2,graphite rod,0.0022,1900,graphite rod,0.0022,1900,7,30,1.157894737,1.157894737,0.101,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; moderate theoretical COD; low toxicity; readily biodegradable nonfermentable
acetate,3,graphite rod,0.0022,1900,graphite rod,0.0022,1900,7,30,1.157894737,1.157894737,0.114,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; moderate theoretical COD; low toxicity; readily biodegradable nonfermentable
tannery wastewater,1.134,zinc mesh net,0.012997,2000,copper mesh net,0.012997,2000,6.36,,6.4985,6.4985,0.015,woven metallic zinc network; open mesh macroporosity; high geometric surface area; flexible thin-sheet architecture | high geometric surface area; open mesh macroporosity; rough zinc surface; native ZnO passivation | open mesh biofilm support; zinc ion antimicrobial toxicity; corrosion-driven biofilm inhibition; limited anodic biocompatibility | high electrical conductivity; low charge transfer resistance; zinc oxidation activity; anodic corrosion susceptibility,woven metallic mesh architecture; open macroporous network; high geometric surface area; interconnected conductive strands | high specific surface area; open macroporous mesh; corrosion-prone oxide layer; biofilm-inhibitory copper toxicity | strong antimicrobial copper ion release; biofilm growth inhibition; corrosion-driven toxicity; limited anodic biocompatibility | high electrical conductivity; low ohmic resistance; rapid electron transfer kinetics; limited corrosion resistance,high COD; chromium sulfide toxicity; partial biodegradability; moderate fermentability
textile wastewater,0.854,aluminium mesh net,0.038,2000,aluminium mesh net,0.038,2000,10.03,,19,19,0.12,open mesh architecture; interconnected macroporous network; high geometric surface area; thin aluminium strands | high geometric surface area; open macroporous mesh topology; native alumina passivation layer; corrosion-susceptible reactive surface | open mesh biofilm support; limited microbial adhesion; aluminum ion toxicity risk; corrosion-driven biofilm instability | high bulk conductivity; elevated interfacial resistance; oxide passivation layer; corrosion-driven potential instability,open mesh architecture; interconnected macroporous voids; high geometric surface area; thin aluminium strands | native alumina passivation; hydrophilic oxide surface; low microscale roughness; open macroporous mesh geometry | macroporous biofilm attachment sites; native oxide bioelectronic barrier; aluminium ion cytotoxicity; corrosion-driven biofilm instability | high electrical conductivity; low bulk resistance; oxide-induced interfacial resistance; limited corrosion stability,high variable COD; soluble recalcitrant dyes; elevated salinity toxicity; low anaerobic biodegradability
rotten sweet potatoes,,palm kernel shell derived graphene oxide,0.003389,2500,graphite rod,,,6.89,26,1.3556,,0.01785,layered graphene sheets; porous carbon framework; high surface area; nanosheet morphology | oxygen-containing functional groups; high surface roughness; hydrophilic surface character; enhanced surface reactivity | strong biofilm attachment; enhanced microbial adhesion; dense biofilm support; efficient cell retention | high conductivity; low resistance; rapid electron transfer; large electroactive surface,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high fermentable carbohydrate content; elevated COD concentration; readily biodegradable organics; low toxicity profile
rotten sweet potatoes,,palm kernel shell derived reduced graphene oxide,0.003389,2500,graphite rod,,,6.89,26,1.3556,,0.03511,layered graphene network; porous carbon framework; high surface area; nanosheet morphology | reduced oxygen functionalities; high surface roughness; hydrophobic carbon surface; enhanced surface stability | strong microbial adhesion; dense biofilm formation; effective biofilm support; enhanced cell retention | high conductivity; low resistance; rapid electron transfer; large electroactive surface,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high fermentable carbohydrate content; elevated COD concentration; readily biodegradable organics; low toxicity profile
palm sugar,,graphite rod,0.020106,3000,graphite rod,0.010053,3000,6.95,27,6.702,3.351,0.13026,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high aqueous solubility; high readily biodegradable COD; low toxicity; high fermentable sugar content
bakery waste,,graphite rod,0.006594,2000,graphite rod,0.006594,2000,7.82,25,3.297,3.297,0.001001,cylindrical monolithic geometry; dense low-porosity structure; smooth limited surface area; rigid mechanically stable form | low specific surface area; smooth graphite surface; hydrophobic carbon surface; electrochemically stable surface | biocompatible carbon surface; electroactive biofilm support; moderate microbial adhesion; low specific surface area | high electrical conductivity; low ohmic resistance; wide electrochemical stability window; moderate charge-transfer kinetics,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,high COD; partial solubility; low toxicity; readily biodegradable fermentables
waste potato,,graphite,0.003,4500,graphite,0.0015,4500,6.16,26,0.666666667,0.333333333,2.30E-08,layered crystalline carbon; low intrinsic porosity; limited specific surface area; rigid planar morphology | biocompatible carbon surface; low specific surface area; moderate surface roughness; limited oxygen functional groups | good biocompatibility; electroactive biofilm support; moderate bacterial adhesion; low surface toxicity | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability window; efficient extracellular electron transfer,layered graphitic crystallites; dense nonporous matrix; low specific surface area; smooth planar surfaces | low specific surface area; hydrophobic basal planes; limited oxygen functional groups; chemical surface stability | excellent microbial biocompatibility; electroactive biofilm adhesion; low cytotoxicity; stable biofilm support | high electrical conductivity; low charge-transfer resistance; wide electrochemical stability; moderate double-layer capacitance,high starch content; high COD; readily biodegradable; fermentable carbohydrate-rich waste
domestic wastewater,0.68647,carbon felt,0.216,18000,carbon felt,0.2007,18000,,,12,11.15,0.02352,nonwoven fibrous network; high macroporosity; large specific surface area; compressible three-dimensional scaffold | high specific surface area; three-dimensional fibrous porosity; rough biofilm-supporting surface; tunable oxygen functional groups | high microbial adhesion; robust biofilm formation; biocompatible carbon surface; porous colonization scaffold | high electrical conductivity; low internal resistance; wide electrochemical stability window; efficient extracellular electron transfer,three-dimensional fibrous network; high porosity; large surface area; interconnected macroporous channels | high specific surface area; porous fibrous network; rough microstructured surface; oxygen-containing functional groups | good biocompatibility; high microbial adhesion; rough fibrous biofilm scaffold; extracellular electron transfer compatibility | high electrical conductivity; low charge-transfer resistance; capacitive surface behavior; fast electron transfer kinetics,moderate COD load; mixed soluble-particulate organics; low inhibitory toxicity; readily biodegradable fermentables
vegetable protein,2,silver plate,0.0026,,graphite rod,0.00115,,7,30,,,0.692,dense metallic plate; nonporous surface structure; smooth metallic morphology; low surface area | conductive metallic surface; low surface roughness; corrosion-resistant surface; stable surface chemistry | moderate microbial adhesion; limited biofilm development; stable biofilm interface; low cell retention | high conductivity; low resistance; efficient electron collection; rapid charge transport,cylindrical rod geometry; dense graphitic matrix; smooth nonporous surface; low specific surface area | low specific surface area; relatively smooth surface; hydrophobic graphitic basal planes; limited surface oxygen groups | biocompatible carbon surface; electroactive biofilm adhesion; low microbial toxicity; limited biofilm surface area | high electrical conductivity; low charge-transfer resistance; broad potential window; electrochemical corrosion resistance,protein-rich organic content; moderate COD concentration; biodegradable nitrogenous compounds; moderate fermentability potential
